priority,topic,modality,tag,idx,trigger,stem,description,search_terms,svg_feasible,svg,error
1,Pain Management & Palliative Care,Fundus/Eye,2021-Jun,146,פונדוס,מה נכון לגבי כיב קיבה?,"This question appears to be about gastric ulcers (in Hebrew) but requests fundus/eye imaging, likely asking about retinal findings in a patient on medications for peptic ulcer disease or related conditions.",normal fundus photograph | optic disc normal retina | healthy fundus examination,False,,
1,Pain Management & Palliative Care,Smear/Histopath,2025-Jun,747,משטח דם פריפרי מראה,"בן 58 מאושפז בשל תלונות על עייפות, הזעות לילה וירידה במשקל. בבדיקה הגופנית נמצאה הגדלה משמעותית של הטחול ללא לימפאדנופתיה. בדיקות מעבדה מראות המוגלובין של 10.5 גרם/ד""ל, ספירת טסיות","Peripheral blood smear showing marked leukocytosis with left shift including myelocytes, metamyelocytes, and basophilia characteristic of chronic myeloid leukemia (CML)",CML peripheral blood smear | chronic myeloid leukemia blood smear | CML myelocytes basophils smear | chronic myeloid leukemia left shift | CML peripheral smear granulocytes,False,,
1,Hypertension,CT/MRI,2024-May,547,CT בטן - 2 אוטמים במראה,בן 45 עם רקע של SLE ותסמונת APLA עם אירוע של DVT בעברו. מפסיק את הטיפול הקבוע ב-warfarin למשך 5 ימים לצורך ביצוע גסטרוסקופיה. יום לאחר הפעולה מתלונן על כאבי בטן עזים ובבדיקה גופנית,CT scan showing acute mesenteric vein thrombosis with bowel wall thickening and edema in a patient with antiphospholipid syndrome who stopped anticoagulation,mesenteric vein thrombosis CT | superior mesenteric vein thrombosis | bowel ischemia mesenteric venous thrombosis | mesenteric venous thrombosis antiphospholipid syndrome,False,,
1,Nephrology — AKI & CKD,CXR,Harrison,866,צילום חזה מראה,מטופל עם דלקת ריאות חדה מגיע לבדיקה. בבדיקה גופנית: קול נשימה מופחת בבסיס הריאה השמאלית וכאב בחזה הוגבר בנשימה עמוקה. צילום חזה מראה אופציויות דקות. מה הפתולוגיה הסבירה ביותר?,Chest X-ray showing left-sided pleural effusion with blunting of the costophrenic angle and possibly pneumonic consolidation in the left lower lobe.,left pleural effusion chest x-ray | parapneumonic pleural effusion CXR | left costophrenic angle blunting pneumonia | pleural effusion with pneumonia radiograph,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2020,64,פונדוס,"בן 61, ידוע על הפטיטיס C מגיל 10, מגיע למיון עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה יש שלוש דליות גדולות. מה נכון לגבי הטיפול בדל",Fundus photograph showing pale optic disc and retinal changes consistent with severe anemia or retinal hemorrhages that may be seen in a patient with cirrhosis and portal hypertension.,anemia fundus pale retina | roth spots fundus hemorrhage | retinal hemorrhage anemia | pale fundus severe anemia | anemic retinopathy fundus,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,275,בדיקת קרקעית עיניים,"בן 80, מגיע למלר״ד בשל בלבול כשבבדיקה לחץ דם 220/110 ממ״כ ביד ימין ו-100/60 ממ״כ ביד שמאל. מה הצעד המידי הבא במצב זה?","Fundus photograph showing hypertensive retinopathy with papilledema, flame hemorrhages, cotton-wool spots, and arteriovenous nicking in a patient with hypertensive emergency",hypertensive retinopathy grade 4 | papilledema hypertensive emergency | malignant hypertension fundus | hypertensive encephalopathy retinopathy | flame hemorrhages cotton wool spots fundus,False,,
1,Pain Management & Palliative Care,Fundus/Eye,2022-Jun,333,פונדוס,"בן 50, ידוע על הפטיטיס C, מגיע למלר״ד עקב הקאות דמיות ביממה אחרונה. בבדיקתו יש מיימת ובמעבדה המוגלובין 10 גר׳/ד״ל. בגסטרוסקופיה נמצאו שלוש דליות גדולות. מה נכון לגבי קשירת הדליות, ","Fundus photograph showing hypertensive retinopathy or diabetic retinopathy changes, though the clinical case describes a patient with Hepatitis C, ascites, and esophageal varices suggesting portal hypertension.",esophageal varices endoscopy | gastric varices endoscopy | portal hypertension varices | large esophageal varices banding,False,,
1,Nephrology — AKI & CKD,CT/MRI,2025-Jun,718,CT חזה מדגים,"בן 70, פנסיונר של מספנות (נמל חיפה), מעשן. מתלונן על קוצר נשימה מזה מספר שנים בבדיקתו ללא קוצר נשימה במנוחה אך מתנשם לאחר מאמצים קלים, סטורציה 92% באוויר החדר, חרחורים אינספירטורים",CT chest showing bilateral pleural plaques and/or diffuse pleural thickening consistent with asbestos exposure in a retired shipyard worker with interstitial lung disease.,asbestosis CT chest | pleural plaques CT | asbestos-related pleural thickening | shipyard worker pneumoconiosis CT | bilateral pleural plaques HRCT,False,,
1,Nephrology — AKI & CKD,CT/MRI,2022-Jun,319,הדמיית בטן,"בת 60, עם שחמת הכבד על רקע כבד שומני. אושפזה עקב חום, כאב בטן ומיימת. בספירת הדם יש לויקוציטוזיס ובניקור המיימת 350 נויטרופילים ב-µL ובתרבית מהנוזל E.coli, Enterococcus ו-S. virida",CT abdomen showing ascites with peritoneal enhancement and thickening consistent with spontaneous bacterial peritonitis in a cirrhotic patient.,spontaneous bacterial peritonitis CT | SBP ascites CT abdomen | peritoneal enhancement ascites cirrhosis CT | infected ascites CT imaging,False,,
1,Neurology & Stroke,CT/MRI,Harrison,1074,CT חזה מראה,"אישה בת 40 עם ptosis דו-צדדי, diplopia וחולשה שמחמירה במהלך היום. CT חזה מראה מסה במדיאסטינום קדמי. מה השילוב הטיפולי המתאים?",CT chest showing anterior mediastinal mass consistent with thymoma in a patient with myasthenia gravis,thymoma CT chest | anterior mediastinal mass CT | thymic mass myasthenia gravis | thymoma mediastinum CT,False,,
1,Neurology & Stroke,CT/MRI,Harrison,994,CT חזה מראה,"אישה בת 28 עם חולשה עפעפיים בערב, קושי בלעה, חולשה פרוקסימלית. נוגדני AChR חיוביים. CT חזה מראה מסה מדיאסטינלית קדמית. מה הטיפול הראשוני?",CT chest showing anterior mediastinal mass consistent with thymoma in a patient with myasthenia gravis,thymoma CT chest anterior mediastinal mass | anterior mediastinal mass CT myasthenia gravis | thymoma chest CT mediastinum,False,,
1,Hypertension,Smear/Histopath,Harrison,1041,בדיקה מיקרוסקופית,"חולה עם אנמיה המוליטית. DAT חיובי, ספירולות בבדיקה מיקרוסקופית ותרומבוציטופניה. איזה אבחנה הכי סבירה?","Peripheral blood smear showing schistocytes (helmet cells, fragmented red blood cells) characteristic of microangiopathic hemolytic anemia in thrombotic thrombocytopenic purpura (TTP) or hemolytic uremic syndrome (HUS).",schistocytes peripheral blood smear | microangiopathic hemolytic anemia smear | fragmented RBC helmet cells | TTP blood smear schistocytes | thrombotic microangiopathy peripheral smear,False,,
1,Oncologic Emergencies,Smear/Histopath,Harrison,954,ביופסיה מראה,"חולה בן 40 עם צליאק מתלונן על פריחה גרדנית עזה על המרפקים, הברכיים והעכוז מזה חודשיים. בבדיקה: וזיקולות קטנות מקובצות על רקע אריתמטוזי. ביופסיה מראה שקיעת IgA תת-אפידרמית. מה הטיפו",Direct immunofluorescence showing granular IgA deposits at the dermal-epidermal junction in dermatitis herpetiformis,dermatitis herpetiformis immunofluorescence IgA | dermatitis herpetiformis direct immunofluorescence | DIF IgA granular dermal-epidermal junction | dermatitis herpetiformis pathology IgA deposit,False,,
1,Neurology & Stroke,CT/MRI,Harrison,991,CT מוח מראה,אישה בת 45 מגיעה עם כאב ראש חד פתאומי חמור. CT מוח מראה דימום תוך מוחי בפריטו-אוקסיפיטלי. לחץ דם 185/110. מה יעד לחץ הדם הנכון?,"CT brain scan showing intracerebral hemorrhage in the parieto-occipital region, appearing as a hyperdense (bright white) area in the posterior brain parenchyma",intracerebral hemorrhage CT brain | parieto-occipital hemorrhage CT | parenchymal brain hemorrhage CT | hypertensive intracerebral hemorrhage posterior,False,,
1,Cardiology — ACS & Coronary Disease,CXR,2025-Jun,768,צילום חזה מדגים,"בת 82 ברקע HFpEF ו-CKD פרה-דיאליטי. מאושפזת מזה שבוע במחלקה פנימית עקב קוצר נשימה ובצקות ללא הטבה תחת טיפול מקסימלי במשתנים במתן תוך ורידי. למטופלת אין חום, מתנשמת. ובבדיקות מעבדה ","Chest X-ray showing severe pulmonary edema with bilateral interstitial infiltrates, Kerley B lines, cardiomegaly, and pleural effusions in a patient with decompensated heart failure refractory to diuretic therapy",severe pulmonary edema chest xray | bilateral pulmonary edema cardiomegaly | acute cardiogenic pulmonary edema CXR | bat wing pulmonary edema | Kerley B lines pleural effusion heart failure | refractory heart failure chest xray,False,,
1,Oncologic Emergencies,Smear/Histopath,Harrison,1082,ביופסיה מראה,גבר בן 35 עם כיבי מעי דלקתיים מפתח גושים כואבים ואדומים בחזית השוקיים. הביופסיה מראה דלקת של המחיצות הבין-שומניות ללא וסקוליטיס. מהו האבחון הסביר ביותר?,"Histopathology showing septal panniculitis without vasculitis, characteristic of erythema nodosum in a patient with inflammatory bowel disease.",erythema nodosum histopathology | septal panniculitis without vasculitis | erythema nodosum IBD biopsy | septal panniculitis histology,False,,
1,GI & Hepatology,CT/MRI,Harrison,1332,הדמיית MRI,מהי התגובה הנאותה ל-spinal cord compression אונקולוגי?,CT or MRI showing spinal cord compression from metastatic tumor causing epidural compression with vertebral body involvement and cord displacement.,spinal cord compression MRI | epidural metastasis spinal cord compression | malignant spinal cord compression CT | oncologic spinal cord compression sagittal MRI | vertebral metastasis cord compression,False,,
1,Oncologic Emergencies,Smear/Histopath,Harrison,1084,ביופסיה מראה,חולה עם לוקמיה מיאלואידית חדה מפתח לוחיות אדמדמות מורמות כואבות בפנים ובצוואר עם נוטרופיליה היקפית. הביופסיה מראה אינפילטרציה דחוסה של נוטרופילים בדרמיס. מהו האבחון?,Skin biopsy showing dense dermal infiltration of neutrophils in Sweet syndrome (acute febrile neutrophilic dermatosis) associated with acute myeloid leukemia,Sweet syndrome histopathology | acute febrile neutrophilic dermatosis biopsy | Sweet syndrome dermis neutrophils | Sweet syndrome AML skin biopsy | neutrophilic dermatosis histology,False,,
1,Hematology & Coagulation,Smear/Histopath,2023-Jun,462,צביעתH&E,מה הדרך הטובה והנפוצה ביותר לאשש אבחנה שלIgA vasculitis ?,"Direct immunofluorescence microscopy showing IgA deposits in dermal blood vessel walls, typically appearing as bright green granular staining in a perivascular pattern",IgA vasculitis direct immunofluorescence | Henoch-Schonlein purpura skin biopsy immunofluorescence | IgA deposits dermal vessels immunofluorescence | leukocytoclastic vasculitis IgA DIF,False,,
1,Critical Care & Shock,CXR,2025-Jun,742,צילום חזה מדגים,"בן 56, ברקע COPD. פונה למלר""ד בשל החמרה משמעותית בקוצר נשימה בשלושת הימים האחרונים. בבדיקתו: מתנשם, צפצופים אקספירטורים דיפוזיים ואקספיריום ארוך. צילום חזה מדגים היפראינפלציה ללא ת","Chest X-ray showing hyperinflation with flattened hemidiaphragms, increased anteroposterior diameter, and increased retrosternal airspace consistent with COPD exacerbation without infiltrate.",COPD hyperinflation chest x-ray | flattened diaphragm COPD CXR | hyperinflated lungs emphysema radiograph | COPD exacerbation chest x-ray normal,False,,
1,Toxicology — Key Syndromes,Fundus/Eye,2021-Jun,177,פונדוסקופיה,"בת 20, בריאה בד""כ. מאושפזת בשל אי ספיקת כליות חדה וארתרלגיות. בבדיקתה לחץ דם 150/80 ממ""כ, ללא פריחות, ללא ממצאים מפרקיים. במעבדה המוגלובין גר'/ד""ל, שאר הספירה תקינה, קריאטינין 2.5 ",Fundus photograph showing retinal vasculitis with cotton-wool spots and retinal hemorrhages consistent with Goodpasture syndrome or microscopic polyangiitis.,retinal vasculitis fundus | cotton wool spots retinal hemorrhages | vasculitis retinopathy fundus photo | ANCA associated retinal vasculitis,False,,
1,Infectious Disease — Core Principles,CT/MRI,Harrison,995,הדמיית CT,"גבר בן 45 עם יתר לחץ דם עמיד לטיפול למרות טיפול בשילוב של ACE inhibitor, CCB ו-thiazide במינונים מקסימליים. בדיקות מעבדה מראות: K+ 2.8 mEq/L, Na+ 145 mEq/L. מה הבדיקה הבאה המומלצת ",CT or MRI showing an adrenal mass/adenoma consistent with primary hyperaldosteronism (Conn syndrome) in a patient with resistant hypertension and hypokalemia,adrenal adenoma CT | Conn syndrome adrenal mass | primary hyperaldosteronism CT imaging | adrenal incidentaloma aldosteronoma,False,,
1,Pulmonology & VTE,Smear/Histopath,2025-Jun,827,ביופסיה מהושט המדגימה,איזה מההיגדים הבאים הכי נכון לגבי אבחנה שלeosinophilic esophagitis ?,"Esophageal biopsy showing dense eosinophilic infiltration with greater than 15 eosinophils per high-power field, characteristic of eosinophilic esophagitis",eosinophilic esophagitis histopathology | eosinophilic esophagitis biopsy eosinophils HPF | esophageal eosinophilia microscopy | eosinophilic esophagitis microabscess,False,,
1,Rheumatology & Vasculitis,Fundus/Eye,2024-Oct,663,פונדוס,איזה מבין המשפטים הבאים נכון לגבי בירור אתיולוגיה אפשרית במטופלים עם אי ספיקת כליות כרונית (CKD) ללא אתיולוגיה נראית לעין?,Fundus photograph showing retinal vasculitis or cotton wool spots suggestive of systemic vasculitis in a patient with chronic kidney disease of unknown etiology,retinal vasculitis fundus | cotton wool spots vasculitis | hypertensive retinopathy CKD | retinal findings systemic vasculitis | fundus vasculitis chronic kidney disease,False,,
1,Pain Management & Palliative Care,ECG,Harrison,1114,הולטר,"גבר בן 55 עם התעלפות בזמן מאמץ. אק""ג תקין במנוחה. מה הבדיקה המתאימה ביותר?",ECG showing hypertrophic cardiomyopathy with deep symmetrical T-wave inversions and large precordial voltages suggesting left ventricular hypertrophy.,hypertrophic cardiomyopathy ECG | HCM ECG deep T wave inversion | apical HCM ECG giant negative T waves | hypertrophic obstructive cardiomyopathy HOCM ECG,True,"<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='10' height='10' patternUnits='userSpaceOnUse'><path d='M 10 0 L 0 0 0 10' fill='none' stroke='#ffcccc' stroke-width='0.5'/></pattern><pattern id='grid5' width='50' height='50' patternUnits='userSpaceOnUse'><rect width='50' height='50' fill='url(#grid)'/><path d='M 50 0 L 0 0 0 50' fill='none' stroke='#ffaaaa' stroke-width='1'/></pattern></defs><rect width='800' height='400' fill='url(#grid5)'/><text x='400' y='20' text-anchor='middle' font-size='14' font-weight='bold'>Hypertrophic Cardiomyopathy - Precordial Leads</text><g id='V3' transform='translate(50,100)'><text x='0' y='-10' font-size='12' font-weight='bold'>V3</text><path d='M 0,0 L 10,0 L 12,-2 L 15,-35 L 18,-2 L 20,0 L 25,3 L 35,8 L 45,10 L 55,8 L 65,3 L 70,0 L 75,15 L 85,70 L 95,15 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><g id='V4' transform='translate(250,100)'><text x='0' y='-10' font-size='12' font-weight='bold'>V4</text><path d='M 0,0 L 10,0 L 12,-2 L 15,-40 L 18,-2 L 20,0 L 25,3 L 35,10 L 45,13 L 55,10 L 65,3 L 70,0 L 75,20 L 85,85 L 95,20 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><g id='V5' transform='translate(450,100)'><text x='0' y='-10' font-size='12' font-weight='bold'>V5</text><path d='M 0,0 L 10,0 L 12,-2 L 15,-30 L 18,-2 L 20,0 L 25,3 L 35,8 L 45,10 L 55,8 L 65,3 L 70,0 L 75,18 L 85,75 L 95,18 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><g id='V6' transform='translate(650,100)'><text x='0' y='-10' font-size='12' font-weight='bold'>V6</text><path d='M 0,0 L 10,0 L 12,-2 L 15,-25 L 18,-2 L 20,0 L 25,3 L 35,7 L 45,9 L 55,7 L 65,3 L 70,0 L 75,15 L 85,65 L 95,15 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><g id='I' transform='translate(50,270)'><text x='0' y='-10' font-size='12' font-weight='bold'>I</text><path d='M 0,0 L 10,0 L 12,-1 L 15,-20 L 18,-1 L 20,0 L 25,2 L 35,5 L 45,6 L 55,5 L 65,2 L 70,0 L 75,10 L 85,40 L 95,10 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><g id='aVL' transform='translate(250,270)'><text x='0' y='-10' font-size='12' font-weight='bold'>aVL</text><path d='M 0,0 L 10,0 L 12,-1 L 15,-18 L 18,-1 L 20,0 L 25,2 L 35,4 L 45,5 L 55,4 L 65,2 L 70,0 L 75,8 L 85,35 L 95,8 L 100,0' fill='none' stroke='black' stroke-width='2'/></g><text x='50' y='380' font-size='11' fill='#666'>Features: Deep symmetrical T-wave inversions, increased precordial voltages (LVH)</text></svg>",
1,Cardiology — ACS & Coronary Disease,ECG,2025-Jun,715,תרשים אק,"בן 65, ברקע אי ספיקת לב סיסטולית על רקע מחלת לב איסכמית. בתרשים אק""ג: מקצב סינוס עם CLBBB. לאור התמשכות סימפטומים למרות GDMT עובר השתלת CRTD. מה אחוז הקיצוב הרצוי?","ECG showing sinus rhythm with complete left bundle branch block (CLBBB) demonstrating wide QRS complexes, broad notched R waves in lateral leads, and appropriate discordant ST-T changes",complete left bundle branch block ECG | CLBBB ECG sinus rhythm | LBBB wide QRS ECG | left bundle branch block 12 lead ECG,True,"<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='5' height='5' patternUnits='userSpaceOnUse'><path d='M 5 0 L 0 0 0 5' fill='none' stroke='#ffcccb' stroke-width='0.3'/></pattern><pattern id='gridBold' width='25' height='25' patternUnits='userSpaceOnUse'><path d='M 25 0 L 0 0 0 25' fill='none' stroke='#ff9999' stroke-width='0.5'/></pattern></defs><rect width='800' height='400' fill='white'/><rect width='800' height='400' fill='url(#grid)'/><rect width='800' height='400' fill='url(#gridBold)'/><text x='10' y='20' font-family='Arial' font-size='14' font-weight='bold'>Lead I</text><path d='M 30 100 L 50 100 L 52 100 L 60 90 L 68 110 L 76 40 L 84 100 L 92 120 L 100 115 L 108 105 L 150 105 L 152 105 L 160 95 L 168 115 L 176 45 L 184 105 L 192 125 L 200 120 L 208 110 L 250 110 L 252 110 L 260 100 L 268 120 L 276 50 L 284 110 L 292 130 L 300 125 L 308 115' fill='none' stroke='black' stroke-width='1.5'/><text x='10' y='170' font-family='Arial' font-size='14' font-weight='bold'>Lead V1</text><path d='M 30 250 L 50 250 L 52 250 L 60 280 L 68 240 L 76 270 L 84 180 L 92 260 L 100 255 L 108 250 L 150 250 L 152 250 L 160 280 L 168 240 L 176 270 L 184 180 L 192 260 L 200 255 L 208 250 L 250 250 L 252 250 L 260 280 L 268 240 L 276 270 L 284 180 L 292 260 L 300 255 L 308 250' fill='none' stroke='black' stroke-width='1.5'/><text x='420' y='20' font-family='Arial' font-size='14' font-weight='bold'>Lead V5</text><path d='M 440 100 L 460 100 L 462 100 L 470 90 L 478 110 L 486 35 L 494 100 L 502 125 L 510 120 L 518 105 L 560 105 L 562 105 L 570 95 L 578 115 L 586 40 L 594 105 L 602 130 L 610 125 L 618 110 L 660 110 L 662 110 L 670 100 L 678 120 L 686 45 L 694 110 L 702 135 L 710 130 L 718 115' fill='none' stroke='black' stroke-width='1.5'/><text x='420' y='170' font-family='Arial' font-size='14' font-weight='bold'>Lead V6</text><path d='M 440 250 L 460 250 L 462 250 L 470 240 L 478 260 L 486 185 L 494 250 L 502 275 L 510 270 L 518 255 L 560 255 L 562 255 L 570 245 L 578 265 L 586 190 L 594 255 L 602 280 L 610 275 L 618 260 L 660 260 L 662 260 L 670 250 L 678 270 L 686 195 L 694 260 L 702 285 L 710 280 L 718 265' fill='none' stroke='black' stroke-width='1.5'/><text x='350' y='390' font-family='Arial' font-size='12' fill='#666'>Wide QRS (>120ms), Notched R in lateral leads</text></svg>",
1,Heart Failure,ECG,2025-Jun,810,תרשים אק,"מה האתיולוגיה הסבירה ביותר לממצא בתרשים אק""ג זה (תמונה 7)?","ECG showing findings suggestive of a specific etiology of heart failure, likely left ventricular hypertrophy with strain pattern, atrial fibrillation, or prior myocardial infarction with Q waves.",left ventricular hypertrophy ECG strain pattern | atrial fibrillation heart failure ECG | old myocardial infarction Q waves ECG | LVH voltage criteria ECG | heart failure ECG findings,True,<svg viewBox='0 0 800 400' xmlns='http://www.w3.org/2000/svg'><defs><pattern id='grid' width='5' height='5' patternUnits='userSpaceOnUse'><path d='M 5 0 L 0 0 0 5' fill='none' stroke='#ffcccc' stroke-width='0.3'/></pattern><pattern id='grid-bold' width='25' height='25' patternUnits='userSpaceOnUse'><path d='M 25 0 L 0 0 0 25' fill='none' stroke='#ffaaaa' stroke-width='0.5'/></pattern></defs><rect width='800' height='400' fill='white'/><rect width='800' height='400' fill='url(#grid)'/><rect width='800' height='400' fill='url(#grid-bold)'/><text x='20' y='30' font-size='16' font-weight='bold'>Lead V5</text><text x='20' y='50' font-size='12'>LVH with strain pattern</text><path d='M 50 200 L 80 200 L 82 200 L 84 185 L 87 140 L 92 95 L 95 80 L 98 75 L 102 78 L 106 85 L 112 100 L 118 125 L 125 155 L 132 180 L 140 200 L 145 210 L 150 215 L 158 225 L 168 235 L 180 240 L 195 238 L 210 230 L 225 218 L 238 205 L 248 200 L 280 200' fill='none' stroke='black' stroke-width='2'/><path d='M 280 200 L 310 200 L 312 200 L 314 185 L 317 140 L 322 95 L 325 80 L 328 75 L 332 78 L 336 85 L 342 100 L 348 125 L 355 155 L 362 180 L 370 200 L 375 210 L 380 215 L 388 225 L 398 235 L 410 240 L 425 238 L 440 230 L 455 218 L 468 205 L 478 200 L 510 200' fill='none' stroke='black' stroke-width='2'/><path d='M 510 200 L 540 200 L 542 200 L 544 185 L 547 140 L 552 95 L 555 80 L 558 75 L 562 78 L 566 85 L 572 100 L 578 125 L 585 155 L 592 180 L 600 200 L 605 210 L 610 215 L 618 225 L 628 235 L 640 240 L 655 238 L 670 230 L 685 218 L 698 205 L 708 200 L 740 200' fill='none' stroke='black' stroke-width='2'/><line x1='0' y1='200' x2='800' y2='200' stroke='#999' stroke-width='0.5' opacity='0.3'/></svg>,
1,Cardiology — ACS & Coronary Disease,ECG,2020,69,תרשים אק,"בת 58, פונה בשל קוצר נשימה פרוגרסיבי כשברקע יל""ד. בבדיקה: השמנת יתר, לחץ הדם 160/80 מ""מ כספית, גודש ורידי צווארי ניכר ובצקות היקפיות. בתרשים אק""ג: מקצב סינוס והיפרטרופיה של חדר שמא",,,False,,Unterminated string starting at: line 5 column 10 (char 360)
